step	end_cause_STALLED
<<<<<<< Updated upstream
0	0
0	43
1	0
1	89
2	0
2	132
3	0
3	178
4	0
4	220
5	0
5	263
6	0
6	304
7	0
7	349
8	0
8	395
9	0
9	440
10	0
10	484
11	0
11	529
12	0
12	575
13	0
13	619
14	0
14	665
15	0
15	710
16	0
16	753
17	0
17	799
18	0
18	843
19	0
19	891
20	0
20	938
21	0
21	980
22	0
22	1022
23	0
23	1066
=======
>>>>>>> Stashed changes
24	0
24	1111
25	0
25	1152
26	0
26	1196
27	0
27	1242
28	0
28	1287
29	0
29	1328
30	0
30	1373
31	0
31	1417
32	0
32	1462
33	0
33	1505
34	0
34	1546
35	0
35	1592
36	0
36	1639
37	0
37	1683
38	0
38	1725
39	0
39	1770
40	0
40	1815
41	0
41	1860
42	0
42	1902
43	0
43	1945
44	0
44	1989
45	0
<<<<<<< Updated upstream
45	2037
46	0
46	2078
47	0
47	2123
48	0
48	2167
=======
45	2
46	0
46	2
47	0
47	2
48	0
48	2
>>>>>>> Stashed changes
49	0
49	2214
50	0
50	2258
51	0
51	2303
52	0
52	2347
53	0
53	2391
54	0
54	2435
55	0
55	2480
56	0
56	2524
57	0
57	2569
58	0
58	2615
59	0
59	2657
60	0
60	2701
61	0
61	2747
62	0
62	2792
63	0
<<<<<<< Updated upstream
63	2839
64	0
64	2885
65	0
65	2930
66	0
66	2978
67	0
67	3024
68	0
68	3067
69	0
69	3112
=======
63	3
64	0
64	3
65	0
65	3
66	0
66	3
67	0
67	3
68	0
68	3
69	0
69	3
>>>>>>> Stashed changes
70	0
70	3158
71	0
71	3204
72	0
72	3250
73	0
73	3298
74	0
74	3343
75	0
75	3392
76	0
76	3437
77	0
77	3482
78	0
78	3528
79	0
79	3575
80	0
80	3620
81	0
81	3665
82	0
82	3709
83	0
83	3754
84	0
84	3801
85	0
85	3849
86	0
<<<<<<< Updated upstream
86	3896
87	0
87	3943
88	0
88	3991
89	0
89	4037
90	0
90	4083
=======
86	4
87	0
87	4
88	0
88	4
89	0
89	4
90	0
90	4
>>>>>>> Stashed changes
91	0
91	4130
92	0
92	4177
93	0
93	4226
94	0
94	4275
95	0
95	4324
96	0
96	4372
97	0
97	4420
98	0
98	4467
99	0
99	4515
100	0
100	4561
101	0
101	4608
102	0
102	4655
103	0
<<<<<<< Updated upstream
103	4701
104	0
104	4749
105	0
105	4796
106	0
106	4842
107	0
107	4888
108	0
108	4937
109	0
109	4985
110	0
110	5033
111	0
111	5080
112	0
112	5127
113	0
113	5174
114	0
114	5221
=======
103	5
104	0
104	5
105	0
105	5
106	0
106	5
107	0
107	5
108	0
108	5
109	0
109	5
110	0
110	5
111	0
111	5
112	0
112	5
113	0
113	5
114	0
114	5
>>>>>>> Stashed changes
115	0
115	5268
116	0
116	5314
117	0
117	5362
118	0
118	5409
119	0
119	5457
120	0
120	5505
121	0
121	5554
122	0
<<<<<<< Updated upstream
122	5601
123	0
123	5649
124	0
124	5699
125	0
125	5746
126	0
126	5795
127	0
127	5844
128	0
128	5892
129	0
129	5943
130	0
130	5992
131	0
131	6042
132	0
132	6091
133	0
133	6138
134	0
134	6188
135	0
135	6237
136	0
136	6286
=======
122	6
123	0
123	6
124	0
124	6
125	0
125	6
126	0
126	6
127	0
127	6
128	0
128	6
129	0
129	6
130	0
130	6
131	0
131	6
132	0
132	6
133	0
133	6
134	0
134	6
135	0
135	6
136	0
136	6
>>>>>>> Stashed changes
137	0
137	6334
138	0
<<<<<<< Updated upstream
138	6382
139	0
139	6431
140	0
140	6479
141	0
141	6527
142	0
142	6574
143	0
143	6622
144	0
144	6671
145	0
145	6719
146	0
146	6766
147	0
147	6816
148	0
148	6866
149	0
149	6916
150	0
150	6966
151	0
151	7016
152	0
152	7064
153	0
153	7115
154	0
154	7163
155	0
155	7209
156	0
156	7259
157	0
157	7309
158	0
158	7354
159	0
159	7402
160	0
160	7452
161	0
161	7499
162	0
162	7548
163	0
163	7597
164	0
164	7646
165	0
165	7695
166	0
166	7745
167	0
167	7795
168	0
168	7844
169	0
169	7892
170	0
170	7940
171	0
171	7991
172	0
172	8042
173	0
173	8090
174	0
174	8137
=======
138	7
139	0
139	7
140	0
140	7
141	0
141	7
142	0
142	7
143	0
143	7
144	0
144	7
145	0
145	7
146	0
146	7
147	0
147	7
148	0
148	7
149	0
149	7
150	0
150	7
151	0
151	7
152	0
152	7
153	0
153	7
154	0
154	7
155	0
155	7
156	0
156	7
157	0
